CustomerID,StartDate,TenureMonths,ContractType,Channel,Region,MonthlyFee,AvgWeeklyUsage,SupportTickets_90d,LatePayments_12m,NPS,Churn_3m
C100000,2021-07-14,6,Mensal,Online,Alentejo,41.98,3.14,0,0,21,1
C100001,2021-06-10,46,Mensal,Parceiro,Algarve,29.98,1.01,1,0,43,0
C100002,2021-12-18,39,Mensal,Loja,Centro,34.91,5.14,1,0,-15,0
C100003,2023-05-23,26,Mensal,Online,Algarve,12.72,4.09,0,0,40,1
C100004,2022-03-07,26,Anual,Online,Alentejo,22.75,2.95,1,0,28,0
C100005,2023-05-15,51,Trimestral,Loja,Norte,29.65,0.0,0,1,6,0
C100006,2023-01-15,6,Trimestral,Online,Lisboa,23.42,1.23,0,0,51,1
C100007,2022-01-28,42,Mensal,Online,Algarve,37.72,3.9,0,1,-41,1
C100008,2023-03-23,12,Trimestral,Online,Centro,47.98,4.74,0,0,35,0
C100009,2021-11-10,6,Trimestral,Loja,Lisboa,22.59,4.57,0,0,74,0
C100010,2022-03-28,32,Mensal,Loja,Lisboa,25.3,0.25,0,0,68,1
C100011,2022-09-05,58,Trimestral,Online,Norte,33.88,3.28,0,0,37,0
C100012,2022-06-15,44,Trimestral,Online,Ilhas,44.89,4.42,0,0,16,0
C100013,2023-01-17,45,Anual,Loja,Norte,22.22,0.15,1,0,6,0
C100014,2021-05-27,43,Mensal,Loja,Norte,33.99,2.79,0,0,16,0
C100015,2022-03-25,47,Anual,Loja,Norte,46.57,3.24,0,0,41,0
C100016,2022-08-22,31,Mensal,Online,Lisboa,18.79,2.32,0,0,1,1
C100017,2021-10-25,8,Mensal,Loja,Algarve,21.75,0.0,1,0,48,0
C100018,2023-02-20,50,Mensal,Parceiro,Algarve,28.61,2.28,0,0,89,0
C100019,2021-09-29,27,Mensal,Loja,Ilhas,27.84,2.28,2,1,23,1
C100020,2021-09-29,30,Mensal,Online,Lisboa,38.5,2.56,2,0,-15,0
C100021,2021-10-21,22,Mensal,Loja,Lisboa,33.93,1.9,0,0,-15,0
C100022,2022-09-01,11,Trimestral,Online,Lisboa,17.8,2.09,0,0,48,0
C100023,2021-04-17,55,Mensal,Online,Norte,36.12,2.74,0,1,23,0
C100024,2021-05-09,47,Anual,Online,Algarve,27.38,3.51,0,0,51,0
C100025,2022-12-02,38,Mensal,Parceiro,Lisboa,42.2,2.31,0,1,9,0
C100026,2021-07-06,24,Trimestral,Online,Lisboa,26.98,2.14,0,0,50,0
C100027,2021-04-05,49,Anual,Parceiro,Lisboa,26.91,2.95,1,0,20,1
C100028,2021-08-26,33,Anual,Loja,Algarve,36.33,0.0,0,0,3,1
C100029,2021-12-25,27,Trimestral,Loja,Centro,38.1,3.56,0,0,13,0
C100030,2021-01-30,27,Trimestral,Online,Alentejo,35.58,2.8,0,0,-11,0
C100031,2023-01-22,14,Mensal,Loja,Alentejo,18.52,2.86,0,0,85,0
C100032,2021-04-16,6,Mensal,Online,Algarve,36.3,4.34,3,1,22,0
C100033,2021-12-30,33,Mensal,Loja,Norte,23.73,0.0,1,0,44,0
C100034,2021-07-01,53,Mensal,Online,Norte,33.88,0.0,0,0,9,0
